city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,constantine,36.37,6.61,9.0,45,40,5.7,DZ,1609519522
163,sao miguel do araguaia,-13.28,-50.16,33.39,48,84,1.48,BR,1609519510
164,panino,51.65,40.13,0.0,97,90,5.0,RU,1609519522
165,chernyshevskiy,63.01,112.47,-33.33,84,83,1.24,RU,1609519523
166,san luis de la paz,21.3,-100.52,15.84,36,4,4.77,MX,1609519523
167,talnakh,69.49,88.4,-29.0,75,84,7.0,RU,1609519523
168,bandarbeyla,9.49,50.81,23.38,73,100,7.82,SO,1609519430
169,chabahar,25.29,60.64,19.85,48,1,3.49,IR,1609519284
170,batagay-alyta,67.8,130.41,-27.19,87,100,0.4,RU,1609519523
171,east london,-33.02,27.91,20.0,60,20,4.6,ZA,1609519408
172,ginir,7.13,40.7,15.91,61,100,1.08,ET,1609519523
173,canico,32.63,-16.85,15.02,67,40,4.1,PT,1609519523
174,ranong,9.97,98.63,22.77,81,78,3.9,TH,1609519468
175,banjarmasin,-3.32,114.59,25.0,94,90,0.5,ID,1609519523
176,ilulissat,69.22,-51.1,-5.0,62,63,1.0,GL,1609519499
177,nanortalik,60.14,-45.24,-1.18,96,100,5.04,GL,1609519523
178,pacific grove,36.62,-121.92,5.64,81,1,1.54,US,1609519423
180,camopi,3.17,-52.32,29.8,69,12,1.89,GF,1609519524
181,nusaybin,37.08,41.22,11.44,44,1,1.72,TR,1609519524
182,gorom-gorom,14.44,-0.24,32.94,12,0,2.56,BF,1609519434
183,newport,51.59,-3.0,3.42,94,82,0.45,GB,1609519252
184,kaitangata,-46.28,169.85,15.0,94,100,4.33,NZ,1609519524
185,aklavik,68.22,-135.01,-29.0,75,25,1.5,CA,1609519524
186,geraldton,-28.77,114.6,22.0,88,0,3.6,AU,1609519524
187,ixtapa,20.7,-105.2,14.0,76,75,2.6,MX,1609519524
188,ponta do sol,32.67,-17.1,15.1,67,40,4.1,PT,1609519524
189,palu,-0.89,119.87,24.62,81,100,0.92,ID,1609519524
190,la orilla,17.98,-102.23,27.59,32,0,0.98,MX,1609519524
191,castro,-24.79,-50.01,26.44,61,62,0.95,BR,1609519525
192,stornoway,58.21,-6.39,0.92,78,55,2.6,GB,1609519525
193,algete,40.6,-3.5,4.85,56,40,6.2,ES,1609519525
194,zhanakorgan,43.91,67.25,-5.64,84,0,0.84,KZ,1609519398
195,hualmay,-11.1,-77.61,23.91,68,79,5.05,PE,1609519393
196,guilin,25.28,110.29,2.0,65,0,2.12,CN,1609519525
197,aktau,43.65,51.2,-3.0,73,0,6.0,KZ,1609519525
198,karangasem,-8.45,115.62,26.0,94,40,2.6,ID,1609519525
199,barrow,71.29,-156.79,-24.0,69,90,4.1,US,1609519392
200,yeppoon,-23.13,150.73,24.0,83,90,3.1,AU,1609519525
201,labuhan,-6.88,112.21,25.36,87,99,4.07,ID,1609519525
202,deputatskiy,69.3,139.9,-34.97,87,89,0.89,RU,1609519525
203,puerto ayora,-0.74,-90.35,26.0,69,40,6.2,EC,1609519280
204,shimoda,34.67,138.95,0.56,77,0,0.89,JP,1609519409
205,nishihara,26.18,127.76,13.64,82,75,4.6,JP,1609519526
206,faranah,10.04,-10.74,35.43,10,0,1.83,GN,1609519526
207,morant bay,17.88,-76.41,28.81,51,75,5.1,JM,1609519526
208,boende,-0.22,20.87,24.0,91,100,1.2,CD,1609519526
210,puerto madryn,-42.77,-65.04,28.84,21,0,6.0,AR,1609519419
211,lockhart,28.62,-81.44,26.51,65,20,8.2,US,1609519275
212,iqaluit,63.75,-68.51,-25.0,69,20,2.1,CA,1609519501
213,san cristobal,7.77,-72.22,26.0,74,40,3.1,VE,1609519526
215,porto novo,6.5,2.6,31.0,70,20,6.7,BJ,1609519527
216,grand gaube,-20.01,57.66,26.11,75,43,3.58,MU,1609519527
217,taltal,-25.4,-70.48,21.07,62,14,3.06,CL,1609519527
219,san patricio,28.02,-97.52,8.51,75,75,4.6,US,1609519527
220,presidencia roque saenz pena,-26.79,-60.44,33.33,31,0,0.89,AR,1609519527
221,uyemskiy,64.47,40.85,-8.0,85,75,4.0,RU,1609519527
222,nahrin,36.06,69.13,-0.72,73,0,1.52,AF,1609519527
223,shabo,46.13,30.39,6.83,87,0,3.0,UA,1609519527
224,nakusp,50.25,-117.8,-0.56,98,100,0.89,CA,1609519528
225,tokmak,47.25,35.71,7.96,85,96,5.42,UA,1609519528
226,freeport,40.66,-73.58,3.53,59,1,3.1,US,1609519441
227,auki,-8.77,160.7,25.56,83,1,1.88,SB,1609519529
228,ndende,-2.4,11.36,25.34,91,97,1.57,GA,1609519529
229,antofagasta,-23.65,-70.4,23.14,64,20,4.1,CL,1609519529
230,katherine,-14.47,132.27,27.0,83,100,3.6,AU,1609519530
231,tahta,26.77,31.5,18.0,55,0,3.1,EG,1609519530
232,aksarka,66.56,67.8,-33.68,83,0,2.28,RU,1609519530
234,halifax,44.65,-63.57,0.29,79,0,3.1,CA,1609519309
235,salinopolis,-0.61,-47.36,29.43,67,72,4.61,BR,1609519530
236,beyneu,45.32,55.2,-0.85,84,93,8.91,KZ,1609519531
238,port blair,11.67,92.75,26.08,75,98,6.41,IN,1609519489
239,tarata,-17.62,-66.02,24.0,44,40,2.6,BO,1609519531
240,port elizabeth,-33.92,25.57,19.44,62,57,1.79,ZA,1609519246
241,poum,-20.23,164.02,27.08,80,100,3.01,NC,1609519532
242,nizhniy kuranakh,58.84,125.49,-30.74,84,100,2.85,RU,1609519532
243,gilgit,35.92,74.31,-2.25,48,89,1.38,PK,1609519452
245,cockburn town,21.46,-71.14,24.85,75,2,11.96,TC,1609519532
246,abhar,36.15,49.22,-1.94,84,0,1.16,IR,1609519532
247,hithadhoo,-0.6,73.08,27.84,78,99,4.42,MV,1609519493
248,waingapu,-9.66,120.26,27.25,75,66,0.61,ID,1609519532
249,lavrentiya,65.58,-171.0,-9.44,94,100,6.83,RU,1609519532
250,shelbyville,35.48,-86.46,20.45,88,90,7.7,US,1609519532
251,lufilufi,-13.87,-171.6,28.42,69,93,4.78,WS,1609519528
252,savannah bight,16.45,-85.85,29.3,58,40,11.2,HN,1609519533
253,bako,5.78,36.57,20.22,67,90,1.5,ET,1609519533
254,katsuura,35.13,140.3,3.94,44,20,2.6,JP,1609519533
255,tuatapere,-46.13,167.68,12.78,97,100,2.24,NZ,1609519533
256,reinosa,43.0,-4.14,4.99,81,75,5.7,ES,1609519533
257,bilibino,68.05,166.44,-34.8,81,100,0.52,RU,1609519427
258,kropotkin,45.44,40.58,6.34,61,58,2.64,RU,1609519533
259,aswan,24.09,32.91,18.74,27,0,3.9,EG,1609519390
260,codrington,-38.27,141.97,16.23,92,100,1.45,AU,1609519037
261,kahului,20.89,-156.47,20.67,73,40,5.7,US,1609519533
262,ribeira grande,38.52,-28.7,16.0,82,40,10.3,PT,1609519533
263,khudumelapye,-23.88,24.75,26.4,51,72,4.06,BW,1609519534
264,vostok,46.49,135.88,-30.14,88,68,1.74,RU,1609519495
266,lagos,6.58,3.75,31.0,70,40,3.1,NG,1609519381
267,panaba,21.28,-88.27,28.08,72,74,5.87,MX,1609519534
268,jamame,0.07,42.75,25.27,80,87,4.12,SO,1609519534
269,ericeira,38.96,-9.42,10.37,82,18,4.47,PT,1609519534
270,saint-augustin,51.23,-58.65,-11.11,86,0,7.88,CA,1609519534
271,camohaguin,13.91,122.17,23.97,90,96,6.88,PH,1609519534
272,yerbogachen,61.28,108.01,-34.8,84,17,1.63,RU,1609519534
273,inverell,-29.78,151.12,16.03,97,83,2.38,AU,1609519312
274,ahuimanu,21.44,-157.84,22.1,88,75,9.3,US,1609519534
275,cherskiy,68.75,161.3,-38.42,81,88,1.12,RU,1609519534
276,dunedin,-45.87,170.5,12.78,95,100,3.58,NZ,1609519535
277,carnarvon,-24.87,113.63,25.0,94,0,6.7,AU,1609519535
278,khatanga,71.97,102.5,-23.64,90,100,6.45,RU,1609519491
279,kaka,37.35,59.61,0.42,85,0,2.52,TM,1609519535
280,qasigiannguit,68.82,-51.19,-5.0,62,62,1.0,GL,1609519535
281,skibbereen,51.55,-9.27,4.0,86,20,6.7,IE,1609519411
282,gizo,-8.1,156.84,28.25,72,77,3.47,SB,1609519535
284,winnemucca,40.97,-117.74,-7.0,85,1,2.1,US,1609519418
285,redmond,47.67,-122.12,7.55,95,100,2.37,US,1609519451
286,sola,-13.88,167.55,27.74,73,91,2.35,VU,1609519535
287,nova olimpia,-14.8,-57.29,36.28,36,86,1.86,BR,1609519535
288,bengkulu,-3.8,102.27,24.96,84,100,1.91,ID,1609519506
289,tiksi,71.69,128.87,-25.46,89,100,2.64,RU,1609519513
290,pitea,65.32,21.48,-3.0,92,90,3.6,SE,1609519536
291,kovdor,67.57,30.48,-7.34,97,98,3.4,RU,1609519536
292,peruibe,-24.32,-47.0,27.45,72,65,3.85,BR,1609519536
293,sorong,-0.88,131.25,27.2,83,100,4.4,ID,1609519536
294,vanavara,60.34,102.28,-33.75,84,12,1.41,RU,1609519536
295,isangel,-19.55,169.27,26.3,82,100,4.78,VU,1609519536
296,apolda,51.02,11.5,1.88,83,100,1.69,DE,1609519285
297,dikson,73.51,80.55,-17.91,94,100,7.89,RU,1609519406
298,mount isa,-20.73,139.5,26.0,78,75,5.1,AU,1609519390
299,beringovskiy,63.05,179.32,-2.46,98,100,15.74,RU,1609519537
300,mehamn,71.04,27.85,0.28,95,93,9.89,NO,1609519537
301,sorland,67.67,12.69,3.0,75,0,2.6,NO,1609519537
302,caravelas,-17.71,-39.25,29.34,57,51,4.74,BR,1609519537
303,januaria,-15.48,-44.37,33.33,43,11,0.97,BR,1609519443
304,cabo san lucas,22.89,-109.91,15.77,63,40,4.6,MX,1609519510
305,lasa,46.62,10.7,-3.21,73,90,1.5,IT,1609519537
306,togur,58.36,82.83,-33.18,86,0,1.65,RU,1609519537
307,prince rupert,54.32,-130.32,6.0,87,90,5.1,CA,1609519489
308,burgeo,47.62,-57.62,-2.63,90,0,11.57,CA,1609519537
309,saint george,37.1,-113.58,-0.37,86,1,1.65,US,1609519386
310,taonan,45.33,122.78,-20.7,71,0,2.15,CN,1609519537
311,zhangjiakou,40.81,114.88,-13.15,81,0,1.89,CN,1609519537
312,lompoc,34.64,-120.46,3.86,86,1,2.1,US,1609519538
313,virbhadra,30.07,78.28,11.83,40,0,2.14,IN,1609519538
314,falkenberg,56.91,12.49,1.83,93,99,2.1,SE,1609519538
315,impfondo,1.64,18.07,29.09,48,85,1.37,CG,1609519538
316,sioux lookout,50.1,-91.92,-7.0,85,90,2.6,CA,1609519250
317,ostrovnoy,68.05,39.51,-7.62,95,100,6.38,RU,1609519516
318,port-gentil,-0.72,8.78,29.0,79,40,5.1,GA,1609519538
319,nokaneng,-19.67,22.27,24.42,70,88,1.45,BW,1609519538
320,upernavik,72.79,-56.15,-7.47,96,100,2.82,GL,1609519500
321,karasburg,-28.02,18.75,31.81,11,42,6.88,NA,1609519538
322,sidney,-33.87,151.21,17.38,77,75,3.1,AU,1609519374
323,adre,13.47,22.2,25.12,22,20,3.57,TD,1609519538
324,raga,8.46,25.68,27.72,21,99,2.22,SS,1609519539
325,sakakah,29.97,40.21,14.0,62,0,3.1,SA,1609519539
326,kieta,-6.22,155.63,25.99,69,99,0.9,PG,1609519539
327,roald,62.58,6.13,1.35,69,40,5.1,NO,1609519419
328,nizhniy baskunchak,48.22,46.83,-0.71,91,100,5.04,RU,1609519539
329,kangaatsiaq,68.31,-53.46,-9.81,93,72,3.74,GL,1609519539
330,kruisfontein,-34.0,24.73,19.44,62,35,1.79,ZA,1609519539
331,san rafael,-34.62,-68.33,31.82,21,0,6.92,AR,1609519539
332,touros,-5.2,-35.46,31.0,48,20,5.1,BR,1609519539
333,trairi,-3.28,-39.27,31.64,53,15,7.66,BR,1609519539
334,hanmer springs,-42.52,172.82,12.81,85,95,0.29,NZ,1609519539
335,xushan,30.18,121.25,-1.92,79,0,1.0,CN,1609519540
336,jalu,29.03,21.55,17.53,28,95,4.31,LY,1609519507
337,sao joao da barra,-21.64,-41.05,32.0,55,20,5.1,BR,1609519404
338,petropavlovsk-kamchatskiy,53.05,158.65,-12.0,78,93,2.0,RU,1609519540
339,ormara,25.21,64.64,19.26,27,20,5.75,PK,1609519540
340,sinnamary,5.38,-52.95,28.67,73,43,4.34,GF,1609519540
341,lorengau,-2.02,147.27,27.42,82,100,4.19,PG,1609519491
342,shubarkuduk,49.14,56.49,-9.46,93,96,5.29,KZ,1609519540
343,hyeres,43.12,6.12,7.31,87,86,2.1,FR,1609519540
344,mulege,26.88,-111.98,16.4,46,0,0.45,MX,1609519498
345,bay roberts,47.6,-53.26,-1.06,72,36,7.92,CA,1609519428
346,sitka,57.05,-135.33,6.0,56,40,5.7,US,1609519433
347,klaksvik,62.23,-6.59,0.0,87,99,8.2,FO,1609519541
348,kantilo,20.35,85.18,18.0,82,33,0.62,IN,1609519541
349,wloclawek,52.65,19.07,-1.11,97,87,0.89,PL,1609519541
350,quelimane,-17.88,36.89,27.72,74,3,5.3,MZ,1609519541
